Date,Item,Qty,Amount,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Madulai Juice,3.00,₹60.00,,,,,
"December 1, 2022",Tea,4.00,₹40.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Samosa,1.00,₹10.00,,,,,
"December 1, 2022",Tea,3.00,₹30.00,,,,,
"December 1, 2022",Veg Sandwich,1.00,₹40.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Veg Sandwich,1.00,₹40.00,,,,,
"December 1, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Samosa,6.00,₹60.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Samosa,11.00,₹110.00,,,,,
"December 1, 2022",Coffee,1.00,₹20.00,,,,,
"December 1, 2022",Veg Sandwich,1.00,₹40.00,,,,,
"December 1, 2022",Tea,8.00,₹80.00,,,,,
"December 1, 2022",Samosa,2.00,₹20.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Tea,3.00,₹30.00,,,,,
"December 1, 2022",Samosa,6.00,₹60.00,,,,,
"December 1, 2022",French Fry,1.00,₹50.00,,,,,
"December 1, 2022",Samosa,1.00,₹10.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Ginger Tea,2.00,₹40.00,,,,,
"December 1, 2022",Leamon Tea,2.00,₹30.00,,,,,
"December 1, 2022",Samosa,2.00,₹20.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Samosa,3.00,₹30.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",Samosa,2.00,₹20.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Samosa,1.00,₹10.00,,,,,
"December 1, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 1, 2022",Coffee,1.00,₹20.00,,,,,
"December 1, 2022",Tea,2.00,₹20.00,,,,,
"December 1, 2022",French Fry,1.00,₹50.00,,,,,
"December 1, 2022",Pepper Milk,1.00,₹10.00,,,,,
"December 1, 2022",Peri Peri Chicken Fry,1.00,₹95.00,,,,,
"December 1, 2022",Samosa,2.00,₹20.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Samosa,1.00,₹10.00,,,,,
"December 1, 2022",Tea,6.00,₹60.00,,,,,
"December 1, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 1, 2022",Milk,1.00,₹20.00,,,,,
"December 1, 2022",Coffee,2.00,₹40.00,,,,,
"December 1, 2022",Samosa,2.00,₹20.00,,,,,
"December 1, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 1, 2022",Tea,1.00,₹10.00,,,,,
"December 1, 2022",Veg Cheese Sanwhich,2.00,₹120.00,,,,,
"December 1, 2022",Leamon Soda,1.00,₹30.00,,,,,
"December 1, 2022",Veg Sandwich,3.00,₹120.00,,,,,
"December 1, 2022",Rose Milk,1.00,₹35.00,,,,,
"December 1, 2022",Veg Sandwich,3.00,₹120.00,,,,,
"December 1, 2022",Rose Milk,1.00,₹35.00,,,,,
"December 1, 2022",Spicy Chicken Burger,1.00,₹100.00,,,,,
"December 1, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 1, 2022",Coffee,1.00,₹20.00,,,,,
"December 1, 2022",Veg Grill Sandwhich,2.00,₹120.00,,,,,
"December 1, 2022",American Chilly Chicken,1.00,₹205.00,,,,,
"December 1, 2022",French Fry,1.00,₹50.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,2.00,₹20.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Ginger Tea,1.00,₹20.00,,,,,
